job_id,job_title,company,description_text,source,date_collected,track,skills
1,DevOps Engineer,CloudWorks,Manage Linux infrastructure with Docker Kubernetes Terraform Ansible AWS and GitHub Actions.,manual_upload,2026-09-02,DevOps & Cloud Engineering,ansible; aws; docker; github actions; kubernetes; linux; terraform
2,Cloud Platform Engineer,InfraLabs,Build AWS services using EC2 S3 IAM CloudFormation and Python. Monitor systems with Prometheus and Grafana.,manual_upload,2026-09-01,DevOps & Cloud Engineering,aws; cloudformation; ec2; grafana; iam; prometheus; python; s3
3,Site Reliability Engineer,ScaleUp,Operate Kubernetes clusters and Helm releases automate CI/CD with Jenkins and monitor logs with ELK and Logstash.,manual_upload,2026-08-31,DevOps & Cloud Engineering,ci/cd; elk; helm; jenkins; kubernetes; logstash
4,Senior Azure Cloud Engineer gn,Workidentity,Einleitung Du möchtest nicht nur Cloud-Infrastrukturen betreiben sondern die Azure-Landschaft eines international tätigen Unternehmens aktiv weiterentwickeln Du schätzt technische Verantwortung kurze Entscheidungswege und ein Team das Herausforderungen gemeinsam angeht Dann könnte diese Position genau zu dir passen. Für ein wirtschaftlich erfolgreiches Unternehmen mit Sitz in Hamburg suche ich einen erfahrenen Azure Cloud Engineer gn der Verantwortung für die Weiterentwicklung der Azure-Plattform übernimmt und seine Ideen aktiv einbringen möchte. Dich erwartet ein modernes IT-Umfeld mit einer hohen Investitionsbereitschaft in Cloud-Technologien viel Gestaltungsspielraum und einer Unternehmenskultur die von Vertrauen Wertschätzung und Zusammenarbeit geprägt ist. Deine Aufgaben Du verantwortest den Betrieb und die kontinuierliche Weiterentwicklung der konzernweiten Microsoft-Azure-Umgebung IaaS PaaS und SaaS . Du bringst deine Ideen bei der Weiterentwicklung der Cloud-Strategie ein und gestaltest technische Entscheidungen aktiv mit. Du bewertest neue Technologien Architekturen und Migrationsszenarien und entwickelst zukunftsfähige Betriebskonzepte. Du stellst sicher dass Security- Governance- und Compliance-Anforderungen in der Cloud berücksichtigt werden. Du analysierst Performance und Verfügbarkeit der Cloud-Services und optimierst diese kontinuierlich. Du unterstützt deine Kolleginnen und Kollegen bei technischen Fragestellungen und bringst dein Know-how in spannende Infrastrukturprojekte ein. Dein Profil Mehrjährige Erfahrung im Aufbau Betrieb oder der Weiterentwicklung von Microsoft-Azure-Umgebungen Fundierte Kenntnisse moderner Cloud-Infrastrukturen sowie der Azure-Plattform Erfahrung mit Cloud-Architekturen sowie ein gutes Verständnis für Security- Governance- und Infrastrukturthemen Eine selbstständige strukturierte und lösungsorientierte Arbeitsweise Freude daran Wissen zu teilen und gemeinsam im Team nachhaltige Lösungen zu entwickeln Sehr gute Deutsch- und gute Englischkenntnisse Benefits Viel Gestaltungsspielraum und die Möglichkeit technische Entscheidungen aktiv mitzugestalten Ein erfahrenes Team das Wissen teilt sich gegenseitig unterstützt und Herausforderungen gemeinsam meistert Eine wertschätzende Unternehmenskultur mit kurzen Entscheidungswegen Vertrauen und offener Kommunikation Individuelle fachliche und persönliche Weiterentwicklung mit langfristigen Entwicklungsperspektiven Moderne Technologien und abwechslungsreiche Projekte in einem internationalen Unternehmensumfeld Flexible Arbeitszeiten sowie die Möglichkeit an 2 bis 4 Tagen pro Woche remote zu arbeiten 37 5-Stunden-Woche Bis zu 35 Urlaubstage Zuschuss zum Deutschlandticket Bike Leasing Kostenlose Parkplätze Betriebliches Gesundheitsmanagement u.v.m. Find Jobs in Germany on Arbeitnow,arbeitnow_api,2026-09-02,DevOps & Cloud Engineering,azure; security
5,DevOps Engineer Application Management Services m/w/d,European IT Consultancy EITCO GmbH,Wir suchen Du möchtest nicht nur Pipelines betreiben sondern komplette Betriebs- und Deploymentplattformen gestalten Du möchtest Verantwortung für produktive Kundenumgebungen übernehmen und moderne DevOps-Praktiken vom Build bis zum Rollout umsetzen Dann werde Teil unseres Application Management Services Teams. Wir betreiben und entwickeln für unsere eitco Lösungen im Umfeld der gesetzlichen Unfallversicherung moderne DevOps-Plattformen und unterstützen unsere Kunden beim Betrieb führen Rollouts durch und übernehmen den Third-Level-Support. Dabei setzen wir konsequent auf Automatisierung Infrastructure as Code und GitOps. Deine Aufgaben Umsetzung und Optimierung automatisierter Build- Test- und Deployment-Prozesse Entwicklung eigener Puppet-Module und Automatisierungslösungen Durchführung von Rollouts in Kundenumgebungen Unterstützung bei Architektur- und Betriebsfragen unserer Entwicklungsteams Analyse und Behebung komplexer Betriebsstörungen im Third-Level-Support Aufbau und Weiterentwicklung von Monitoring- Logging- und Observability-Lösungen Mitarbeit bei Betrieb und Weiterentwicklung unserer CI/CD-Plattform Betrieb und Weiterentwicklung von Kubernetes-Plattformen Mitarbeit an modernen GitOps- und Cloud-Native-Konzepten Unsere Technologien CI/CD & Software Delivery Jenkins Bitbucket Maven Gradle npm Sonatype Nexus Configuration Management & Automatisierung Puppet / Bolt r10k Terraform Bash PowerShell Ruby Container & Kubernetes Kubernetes Cluster API ArgoCD Docker GitOps Proxmox Monitoring & Observability OpenTelemetry Prometheus Grafana Datenbanken & Middleware PostgreSQL Spring Boot Betriebssysteme Ubuntu Linux Windows Server Warum Du zu EITCO kommen solltest Bei uns betreibst du nicht nur einzelne Systeme. Du arbeitest an einer Plattformlandschaft die vom Quellcode über CI/CD Konfigurationsmanagement und Infrastruktur bis hin zum produktiven Betrieb reicht. Wir automatisieren konsequent entwickeln eigene Puppet-Module betreiben Kubernetes-Plattformen nach GitOps-Prinzipien und führen jedes Jahr zahlreiche Rollouts in produktiven Kundenumgebungen durch. In unserem Umfeld werden DevOps-Ingenieure zu echten Full-Stack-Engineers für den Betrieb moderner Anwendungen. Was erwartet dich bei uns Ein erfahrenes DevOps-Team mit hoher technischer Expertise Eigenverantwortliches Arbeiten statt Ticket-Abarbeitung Moderne Technologien und die Möglichkeit neue Themen aktiv mitzugestalten Direkter Einfluss auf Architektur- Betriebs- und Automatisierungskonzepte Abwechslungsreiche Projekte in unterschiedlichen Kundenumgebungen Flexible Arbeitszeiten und hybrides Arbeiten Individuelle Weiterbildung und Zertifizierungen Kollegiales Umfeld mit kurzen Entscheidungswegen Enger Kontakt zu den Entwicklungsteams und zum Kunden Dein Profil Must-have Erfahrung im Linux-Umfeld Erfahrung mit Automatisierung und Infrastructure as Code Verständnis moderner DevOps-Prinzipien Spaß an nachhaltigen Lösungen und eigenverantwortlichem Arbeiten Tiefere Kenntnisse in mindestens einem der Bereiche Puppet / bolt PostgreSQL Kubernetes / CAPI Linux Administration Deutschkenntnisse auf muttersprachlichem Niveau und gute Englischkenntnisse Nice-to-have Erfahrung im Betrieb geschäftskritischer Anwendungen Erfahrungen mit PostgreSQL Kenntnisse in Observability- und Monitoring-Lösungen Erfahrung mit Shell-Scripting Bash oder PowerShell Kenntnisse in Java / Kotlin oder Spring Boot Erfahrung in regulierten oder sicherheitskritischen Umgebungen Warum wir Deine Chance jetzt und für die Zukunft Flexibles Arbeiten Arbeite vor Ort in einem unserer modernen Büros oder flexibel am mobilen Arbeitsplatz daheim. Teamspirit Erlebe eine Familien- freundliche wertschätzende Arbeitsatmosphäre im Unternehmen und deinem Team. Kontinuierliches Lerne n Wir unterstützen dich gerne durch interne und externe Weiterbildungen. Community of Practice Arbeite in fachbereichübergreifenden Projektgruppen zusammen tauscht Wissen aus und entwickelt kreative Problemlösungen. Immer up - to -date Unser monatlicher OpenFriday mit Beiträgen aller Mitarbeitenden standortübergreifend und gemeinsamen Frühstück hält dich auf dem Laufenden. Work-Life Balance Flexible Arbeitszeiten mit Gleitzeit und 30 Tage Urlaub sind selbstverständlich. Health Betriebliches Gesundheitsmanagement mit Betriebssport Zuschuss zur EGYM Wellpass Mitgliedschaft und JobRad sorgen für Aktivität in deinem Alltag. Lohnende Zusatzleistungen Erhalte zusätzliche Vorteile durch Corporate Benefits Programm Deutschland Ticket Job Mitarbeiter-werben-Mitarbeiter u.v.m. Kein kaltes Wasser Deine Einarbeitung erfolgt mit deinem eigenen Paten. Kontakt Meike Bodemann HR Manager/Management Assistent European IT Consultancy EITCO GmbH Fon +49 228 338 881 150 Standorte Berlin Potsdamer Platz 10 10785 Berlin Bonn Am Bonner Bogen 6 53227 Bonn Essen Nordhofstraße 2 45127 Essen Find Jobs in Germany on Arbeitnow DevOps CI/CD Git Kubernetes Docker Linux Application Management Services AMS 12 Monitoring Automation,arbeitnow_api,2026-09-02,DevOps & Cloud Engineering,bash; ci/cd; docker; git; grafana; jenkins; kubernetes; linux; monitoring; prometheus; puppet; terraform
6,Senior Kubernetes Platform Engineer m/w/d Ref.Nr. 47602,Wavestone Germany AG,Wir suchen einen Senior Platform Engineer für den Aufbau die Weiterentwicklung und den Betrieb einer Kubernetes-basierten Plattform auf Bare-Metal-Infrastruktur für geschäftskritische Anwendungen. Die Rolle verbindet Plattformautomatisierung Cloud-native-Integration Sicherheit Observability und operative Verantwortung in einem technisch anspruchsvollen Umfeld. Key Facts Start 15.10.2026 Dauer Nicht bekannt Auslastung 112 Einsatzart Einsatzort Stuttgart Einsatzland Deutschland Ihre Aufgaben Technische Konkretisierung von Plattformanforderungen und Überführung in umsetzbare Lösungsansätze in Abstimmung mit dem Platform Domain Architect und den beteiligten Fachteams Aufbau und Weiterentwicklung einer weitgehend automatisierten und reproduzierbaren Kubernetes-basierten Plattform auf Bare-Metal-Infrastruktur für geschäftskritische Anwendungen bis zur Betriebsfähigkeit und zum Go-Live Umsetzung wiederverwendbarer Plattformfunktionen für die Bereitstellung Konfiguration und Weiterentwicklung von Kubernetes-Clustern Servern und weiteren Infrastrukturkomponenten Entwicklung Implementierung automatisierter Test und Integration von Kubernetes-Controllern und -Operatoren für Cluster- und Anwendungsbereitstellung Anwendungen ohne eigene GitOps-Mechanismen sowie Server- und Netzwerkkonfiguration Weiterentwicklung der automatisierten Bare-Metal- und Kubernetes-Bereitstellung einschließlich Hardware- und Betriebssystem-Lifecycle Cluster-Provisioning und Anbindung von BMC-Schnittstellen Weiterentwicklung von GitOps- und Infrastructure-as-Code-basierten Automatisierungslösungen einschließlich der erforderlichen Test- und Integrationsverfahren zur Reduzierung manueller Eingriffe Integration externer Systeme und Infrastrukturkomponenten über APIs deklarative Schnittstellen und controllerbasierte Mechanismen Konzeption und Umsetzung von Observability für Plattform und Anwendungen mit Metriken Logs Traces und Alerting sowie clusterinternen und clusterübergreifenden Sichten und bedarfsgerechter Zugriffstrennung Konzeption und Umsetzung automatisierter Backup- Restore- und Recovery-Verfahren für Plattformkomponenten Persistent Volumes und Datenbanken einschließlich externer Sicherungsziele überprüfbarer Wiederherstellungsverfahren und konkreter Ausfallszenarien Konzeption und Umsetzung von Hochverfügbarkeitsmaßnahmen sowie definiertem Systemverhalten bei Ausfällen zur Verbesserung von Stabilität Wiederherstellbarkeit Nachvollziehbarkeit und Sicherheit über Cluster- und Schutzzonengrenzen hinweg Konzeption und technische Umsetzung von Sicherheitsvorgaben durch Admission Control richtlinienbasierte Validierung und Mutation von Ressourcen sowie weitere Hardening- und Threat-Detection-Maßnahmen Planung und Umsetzung technologischer Weiterentwicklungen bestehender Plattformkomponenten zur Realisierung neuer Plattformanforderungen Analyse komplexer Fehlerbilder über mehrere technische Schichten hinweg sowie Durchführung und Begleitung von Wiederanlauf- und Funktionstests Unterstützung des stabilen und sicheren Plattformbetriebs einschließlich Incident- und Störungsbehebung Wiederherstellung des Regelbetriebs operativer Änderungen und Anpassungen operativer Backup- Restore- und Recovery-Vorgänge Go-Live- und Hypercare-Phasen sowie der technischen Nutzbarkeit im laufenden Betrieb Durchführung von Upgrades Releases Patches und sonstigen operativen Lifecycle-Maßnahmen sowie Pflege und Anpassung bestehender Konfigurationen Erstellung und Übergabe technischer und betriebsbegleitender Dokumentation sowie Durchführung von Wissenstransfer und Betriebsunterstützung Muss-Anforderungen Mindestens 6 Jahre einschlägige operative Erfahrung in einer Senior-Platform-Engineering-Rolle für Kubernetes-basierte Plattformen Erfahrung in der Konzeption technischen Umsetzung Integration und wesentlichen Weiterentwicklung von Kubernetes-basierten Plattformen Praktische Erfahrung mit der automatisierten und reproduzierbaren Bereitstellung sowie dem Lifecycle-Management von Bare-Metal-Systemen Servern und Kubernetes-Clustern Erfahrung mit Bare-Metal- und Kubernetes-Automatisierung sowie mit GitOps Infrastructure as Code und deklarativen beziehungsweise controllerbasierten Automatisierungsmechanismen Umfassende praktische Erfahrung in der Entwicklung oder wesentlichen Weiterentwicklung von Kubernetes-Controllern und/oder -Operatoren die produktiv eingesetzt wurden Mindestens 3 Jahre Erfahrung mit Kubernetes Day-2-Operations Lifecycle Management Upgrades sowie der Analyse und Behebung komplexer technischer Störungen Erfahrung mit der Konzeption und technischen Umsetzung von Observability für Plattformen und Anwendungen einschließlich Metriken Logging Tracing Alerting sowie clusterinterner und clusterübergreifender Sichten Erfahrung mit der Konzeption Automatisierung und praktischen Überprüfung von Hochverfügbarkeits- Backup- Restore- und Recovery-Verfahren einschließlich definierter Ausfallszenarien und Wiederherstellungstests Erfahrung mit der Konzeption und technischen Umsetzung von Kubernetes-Security Policy Enforcement Admission Control richtlinienbasierter Validierung und Mutation von Ressourcen sowie weiteren Hardening- und Threat-Detection-Maßnahmen Erfahrung mit der Integration externer Systeme und technischer Schnittstellen über APIs deklarative Schnittstellen und vergleichbare Mechanismen Breite technische Erfahrungsbasis sowie die Fähigkeit komplexe und nicht vollständig spezifizierte Aufgaben eigenständig über mehrere technische Schichten hinweg bis zu einer produktiv nutzbaren Lösung zu bearbeiten und die Ergebnisverantwortung zu übernehmen Erfahrung in der Energiewirtschaft in kritischer Infrastruktur oder in einem vergleichbaren regulierten beziehungsweise sicherheitskritischen Umfeld Deutsch auf Muttersprachenniveau sowie verhandlungssichere Englischkenntnisse in Wort und Schrift Abgeschlossenes Studium im Bereich Informatik Ingenieurwesen oder eine vergleichbare Qualifikation Bereitschaft zur Sicherheitsüberprüfung nach SÜG und zum entsprechenden Pre-Screening Mindestens eine persönliche Referenz im DACH-Raum sowie mindestens eine persönliche Referenz zu Platform Engineering für eine produktive Kubernetes-basierte Infrastruktur Verfügbarkeit ab Oktober beziehungsweise November 2026 Bereitschaft zur Nutzung von Atlassian Confluence und Jira als vorgegebene Kollaborations- und Dokumentationswerkzeuge Kann-Anforderungen Erfahrung in der Entwicklung von Kubernetes-Controllern und/oder -Operatoren mit der Programmiersprache Go Fähigkeit technische Inhalte strukturiert verständlich und überzeugend zu präsentieren Ausgeprägte Ausdrucksfähigkeit sowie die Fähigkeit komplexe technische Sachverhalte klar zu vermitteln Ausgeprägte Fähigkeit zur Zusammenarbeit und konstruktiven Interaktion in technischen Teams Weitere Informationen Die Rolle ist zu ca. 90 remote Präsenztage finden im Raum Stuttgart statt. Let s power the future together Vom Business Case bis hin zur Umsetzung Als führendes Beratungsunternehmen für strategische Transformationen sind wir vertrauenswürdiger Partner für unsere Kunden - und für unsere Mitarbeitenden. Verantwortungsvoll leistungsstark und immer mit dem Menschen im Fokus. #WeAreWavestone Mit unserem 360 -Portfolio an Beratungsleistungen verbinden wir erstklassige Branchenexpertise mit einem breiten Spektrum an branchenübergreifenden Kompetenzen arbeiten interdisziplinär und denken über den Tellerrand hinaus. Unseren Partnerunternehmen und Freelancern Freelancerinnen können wir so umfassende Perspektiven innerhalb unserer eigenen Projekte bieten und unterstützen als langjähriger Rahmenvertragspartner bei der Besetzung von Projektvakanzen zeitnah und direkt. Wir freuen uns auf Ihre Kontaktaufnahme Ihr direkter Ansprechpartner bei Wavestone Emira Bucan Telefon - E-Mail Find Jobs in Germany on Arbeitnow IT,arbeitnow_api,2026-09-02,DevOps & Cloud Engineering,kubernetes; security
7,Software Engineer Platform - Munich Germany,Speechify,The mission of Speechify is to make sure that reading is never a barrier to learning. Over 50 million people use Speechify s text-to-speech products to turn whatever they re reading PDFs books Google Docs news articles websites into audio so they can read faster read more and remember more. Speechify s text-to-speech reading products include its iOS app Android App Mac App Chrome Extension and Web App. Google recently named Speechify the Chrome Extension of the Year and Apple named Speechify its 2025 Design Award winner for Inclusivity. Today nearly 200 people around the globe work on Speechify in a 100 distributed setting Speechify has no office. These include frontend and backend engineers AI research scientists and others from Amazon Microsoft and Google leading PhD programs like Stanford high growth startups like Stripe Vercel Bolt and many founders of their own companies. Overview The responsibilities of our Platform team include building and maintaining all backend services including but not limited to payments analytics subscriptions new products text to speech and external APIs. This is a key role and ideal for someone who thinks strategically enjoys fast-paced environments is passionate about making product decisions and has experience building great user experiences that delight users. We are a flat organization that allows anyone to become a leader by showing excellent technical skills and delivering results consistently and fast. Work ethic solid communication skills and obsession with winning are paramount. Our interview process involves several technical interviews and we aim to complete them within 1 week. What Yo u ll Do Design develop and maintain robust APIs including public TTS API internal APIs like Payment Subscription Auth and Consumption Tracking ensuring they meet business and scalability requirements Oversee the full backend API landscape enhancing and optimizing for performance and maintainability Collaborate on B2B solutions focusing on customization and integration needs for enterprise clients Work closely with cross-functional teams to align backend architecture with overall product strategy and user experience An Ideal Candidate Should Have Proven experience in backend development TS/Node required Direct experience with GCP and knowledge of AWS Azure or other cloud providers Efficiency in ideation and implementation prioritizing tasks based on urgency and impact Preferred Experience with Docker and containerized deployments Preferred Proficiency in deploying high availability applications on Kubernetes What We Offer A dynamic environment where your contributions shape the company and its products A team that values innovation intuition and drive Autonomy fostering focus and creativity The opportunity to have a significant impact in a revolutionary industry Competitive compensation a welcoming atmosphere and a commitment to an exceptional asynchronous work culture The privilege of working on a product that changes lives particularly for those with learning differences like dyslexia ADD and more An active role at the intersection of artificial intelligence and audio a rapidly evolving tech domain The Germany Based Salary range for this role is 30 000-120 000 USD/Year + Bonus + Stock depending on experience. Think you re a good fit for this job Tell us more about yourself and why you re interested in the role when you apply. And don t forget to include links to your portfolio and LinkedIn. Not looking but know someone who would make a great fit Refer them Speechify is committed to a diverse and inclusive workplace. Speechify does not discriminate on the basis of race national origin gender gender identity sexual orientation protected veteran status disability age or other legally protected status. Find Jobs in Germany on Arbeitnow,arbeitnow_api,2026-09-02,DevOps & Cloud Engineering,aws; azure; docker; gcp; kubernetes
8,Software Engineer Data Infrastructure & Acquisition - Frankfurt Germany,Speechify,The mission of Speechify is to make sure that reading is never a barrier to learning. Over 50 million people use Speechify s text-to-speech products to turn whatever they re reading PDFs books Google Docs news articles websites into audio so they can read faster read more and remember more. Speechify s text-to-speech reading products include its iOS app Android App Mac App Chrome Extension and Web App. Google recently named Speechify the Chrome Extension of the Year and Apple named Speechify its 2025 Design Award winner for Inclusivity. Today nearly 200 people around the globe work on Speechify in a 100 distributed setting Speechify has no office. These include frontend and backend engineers AI research scientists and others from Amazon Microsoft and Google leading PhD programs like Stanford high growth startups like Stripe Vercel Bolt and many founders of their own companies. Overview We re looking to hire for our Data side of our AI team at Speechify. This role is responsible for all aspects of data collection to support our model training operations. We are able to build high-quality datasets at petabyte-scale and low cost through a tight integration of infrastructure engineering and research work. We are looking for a skilled Software Engineer to join us. What You ll Do Be scrappy to find new sources of audio data and bring it into our ingestion pipeline Operate and extend the cloud infrastructure for our ingestion pipeline currently running on GCP and managed with Terraform. Collaborate closely with our Scientists to shift the cost/throughput/quality frontier delivering richer data at bigger scale and lower cost to power our next-generation models. Collaborate with others on the AI Team and Speechify Leadership to craft the AI Team s dataset roadmap to power Speechify s next-generation consumer and enterprise products. An Ideal Candidate Should Have BS/MS/PhD in Computer Science or a related field. 5+ years of industry experience in software development. Proficiency with bash/Python scripting in Linux environments Proficiency in Docker and Infrastructure-as-Code concepts and professional experience with at least one major Cloud Provider we use GCP Experience with web crawlers large-scale data processing workflows is a plus Ability to handle multiple tasks and adapt to changing priorities. Strong communication skills both written and verbal. What we offer A fast-growing environment where you can help shape the company and product. An entrepreneurial-minded team that supports risk intuition and hustle. A hands-off management approach so you can focus and do your best work. An opportunity to make a big impact in a transformative industry. Competitive salaries a friendly and laid-back atmosphere and a commitment to building a great asynchronous culture. Opportunity to work on a life-changing product that millions of people use. Build products that directly impact and support people with learning differences like dyslexia ADD low vision concussions autism and more. Work in one of the fastest-growing sectors of tech the intersection of artificial intelligence and audio. The Germany Based Salary range for this role is 30 000-120 000 USD/Year + Bonus + Stock depending on experience. Think you re a good fit for this job Tell us more about yourself and why you re interested in the role when you apply. And don t forget to include links to your portfolio and LinkedIn. Not looking but know someone who would make a great fit Refer them Speechify is committed to a diverse and inclusive workplace. Speechify does not discriminate on the basis of race national origin gender gender identity sexual orientation protected veteran status disability age or other legally protected status. Find more English Speaking Jobs in Germany on Arbeitnow,arbeitnow_api,2026-09-02,DevOps & Cloud Engineering,bash; docker; gcp; linux; python; terraform
9,Software Engineer Data Infrastructure & Acquisition - Berlin Germany,Speechify,The mission of Speechify is to make sure that reading is never a barrier to learning. Over 50 million people use Speechify s text-to-speech products to turn whatever they re reading PDFs books Google Docs news articles websites into audio so they can read faster read more and remember more. Speechify s text-to-speech reading products include its iOS app Android App Mac App Chrome Extension and Web App. Google recently named Speechify the Chrome Extension of the Year and Apple named Speechify its 2025 Design Award winner for Inclusivity. Today nearly 200 people around the globe work on Speechify in a 100 distributed setting Speechify has no office. These include frontend and backend engineers AI research scientists and others from Amazon Microsoft and Google leading PhD programs like Stanford high growth startups like Stripe Vercel Bolt and many founders of their own companies. Overview We re looking to hire for our Data side of our AI team at Speechify. This role is responsible for all aspects of data collection to support our model training operations. We are able to build high-quality datasets at petabyte-scale and low cost through a tight integration of infrastructure engineering and research work. We are looking for a skilled Software Engineer to join us. What You ll Do Be scrappy to find new sources of audio data and bring it into our ingestion pipeline Operate and extend the cloud infrastructure for our ingestion pipeline currently running on GCP and managed with Terraform. Collaborate closely with our Scientists to shift the cost/throughput/quality frontier delivering richer data at bigger scale and lower cost to power our next-generation models. Collaborate with others on the AI Team and Speechify Leadership to craft the AI Team s dataset roadmap to power Speechify s next-generation consumer and enterprise products. An Ideal Candidate Should Have BS/MS/PhD in Computer Science or a related field. 5+ years of industry experience in software development. Proficiency with bash/Python scripting in Linux environments Proficiency in Docker and Infrastructure-as-Code concepts and professional experience with at least one major Cloud Provider we use GCP Experience with web crawlers large-scale data processing workflows is a plus Ability to handle multiple tasks and adapt to changing priorities. Strong communication skills both written and verbal. What we offer A fast-growing environment where you can help shape the company and product. An entrepreneurial-minded team that supports risk intuition and hustle. A hands-off management approach so you can focus and do your best work. An opportunity to make a big impact in a transformative industry. Competitive salaries a friendly and laid-back atmosphere and a commitment to building a great asynchronous culture. Opportunity to work on a life-changing product that millions of people use. Build products that directly impact and support people with learning differences like dyslexia ADD low vision concussions autism and more. Work in one of the fastest-growing sectors of tech the intersection of artificial intelligence and audio. The Germany Based Salary range for this role is 30 000-120 000 USD/Year + Bonus + Stock depending on experience. Think you re a good fit for this job Tell us more about yourself and why you re interested in the role when you apply. And don t forget to include links to your portfolio and LinkedIn. Not looking but know someone who would make a great fit Refer them Speechify is committed to a diverse and inclusive workplace. Speechify does not discriminate on the basis of race national origin gender gender identity sexual orientation protected veteran status disability age or other legally protected status. Find more English Speaking Jobs in Germany on Arbeitnow,arbeitnow_api,2026-09-02,DevOps & Cloud Engineering,bash; docker; gcp; linux; python; terraform
10,Software Engineer Platform - Cologne Germany,Speechify,The mission of Speechify is to make sure that reading is never a barrier to learning. Over 50 million people use Speechify s text-to-speech products to turn whatever they re reading PDFs books Google Docs news articles websites into audio so they can read faster read more and remember more. Speechify s text-to-speech reading products include its iOS app Android App Mac App Chrome Extension and Web App. Google recently named Speechify the Chrome Extension of the Year and Apple named Speechify its 2025 Design Award winner for Inclusivity. Today nearly 200 people around the globe work on Speechify in a 100 distributed setting Speechify has no office. These include frontend and backend engineers AI research scientists and others from Amazon Microsoft and Google leading PhD programs like Stanford high growth startups like Stripe Vercel Bolt and many founders of their own companies. Overview The responsibilities of our Platform team include building and maintaining all backend services including but not limited to payments analytics subscriptions new products text to speech and external APIs. This is a key role and ideal for someone who thinks strategically enjoys fast-paced environments is passionate about making product decisions and has experience building great user experiences that delight users. We are a flat organization that allows anyone to become a leader by showing excellent technical skills and delivering results consistently and fast. Work ethic solid communication skills and obsession with winning are paramount. Our interview process involves several technical interviews and we aim to complete them within 1 week. What Yo u ll Do Design develop and maintain robust APIs including public TTS API internal APIs like Payment Subscription Auth and Consumption Tracking ensuring they meet business and scalability requirements Oversee the full backend API landscape enhancing and optimizing for performance and maintainability Collaborate on B2B solutions focusing on customization and integration needs for enterprise clients Work closely with cross-functional teams to align backend architecture with overall product strategy and user experience An Ideal Candidate Should Have Proven experience in backend development TS/Node required Direct experience with GCP and knowledge of AWS Azure or other cloud providers Efficiency in ideation and implementation prioritizing tasks based on urgency and impact Preferred Experience with Docker and containerized deployments Preferred Proficiency in deploying high availability applications on Kubernetes What We Offer A dynamic environment where your contributions shape the company and its products A team that values innovation intuition and drive Autonomy fostering focus and creativity The opportunity to have a significant impact in a revolutionary industry Competitive compensation a welcoming atmosphere and a commitment to an exceptional asynchronous work culture The privilege of working on a product that changes lives particularly for those with learning differences like dyslexia ADD and more An active role at the intersection of artificial intelligence and audio a rapidly evolving tech domain The Germany Based Salary range for this role is 30 000-120 000 USD/Year + Bonus + Stock depending on experience. Think you re a good fit for this job Tell us more about yourself and why you re interested in the role when you apply. And don t forget to include links to your portfolio and LinkedIn. Not looking but know someone who would make a great fit Refer them Speechify is committed to a diverse and inclusive workplace. Speechify does not discriminate on the basis of race national origin gender gender identity sexual orientation protected veteran status disability age or other legally protected status. Find Jobs in Germany on Arbeitnow,arbeitnow_api,2026-09-02,DevOps & Cloud Engineering,aws; azure; docker; gcp; kubernetes
